Month,Total_Alive,Males,Females,Male_Percentage,Female_Percentage,Mature_Rabbits,Pregnant_Females,Births,Deaths,Avg_Age,Min_Age,Max_Age
0,10000,4953,5047,49.53,50.47,10000,0,0,0,14.50,10,19
1,9586,4953,5047,51.67,52.65,9586,222,0,414,15.49,11,20
2,10215,5446,5572,53.31,54.55,9197,447,1018,389,14.85,0,21
3,11778,6483,6566,55.04,55.75,8813,419,2031,468,13.17,0,22
4,13053,7457,7489,57.13,57.37,8416,415,1897,622,12.20,0,23
5,14154,8396,8410,59.32,59.42,8082,614,1860,759,11.66,0,24
6,16080,9785,9816,60.85,61.04,7712,734,2795,869,10.61,0,25
7,18371,11486,11423,62.52,62.18,7809,951,3308,1017,9.68,0,26
8,21456,13620,13606,63.48,63.41,8491,1382,4317,1232,8.72,0,27
9,26151,16795,16632,64.22,63.60,9164,1693,6201,1506,7.58,0,28
10,31849,20582,20437,64.62,64.17,9859,2095,7592,1894,6.67,0,29
11,38927,25281,25299,64.94,64.99,10840,2444,9561,2483,5.92,0,30
12,46977,30777,30777,65.52,65.52,12057,2945,10974,2924,5.41,0,31
13,56640,37323,37539,65.90,66.28,13834,3280,13308,3645,5.01,0,32
14,66848,44711,44793,66.88,67.01,16222,3809,14642,4434,4.77,0,33
15,78796,53385,53366,67.75,67.73,19533,4631,17247,5299,4.59,0,34
16,93195,63794,63759,68.45,68.41,23490,5466,20802,6403,4.40,0,35
17,109999,76047,76004,69.13,69.10,28199,6527,24498,7694,4.26,0,36
18,130491,90774,90686,69.56,69.50,33599,7679,29409,8917,4.11,0,37
19,154059,108089,107858,70.16,70.01,39800,9069,34487,10919,4.00,0,38
20,182120,128281,128216,70.44,70.40,46766,10675,40550,12489,3.92,0,39
21,215314,152472,152096,70.81,70.64,55037,12636,48071,14877,3.85,0,40
22,254613,181071,180513,71.12,70.90,64833,14847,57016,17717,3.78,0,41
23,300104,214531,213792,71.49,71.24,76563,17556,66739,21248,3.74,0,42
24,354311,254094,253444,71.71,71.53,90212,20558,79215,25008,3.70,0,43
25,417132,300316,299698,72.00,71.85,106565,24498,92476,29655,3.67,0,44
26,492829,355573,354631,72.15,71.96,125795,29114,110190,34493,3.64,0,45
27,582737,421202,420078,72.28,72.09,148396,34180,131076,41168,3.60,0,46
28,687838,498251,496798,72.44,72.23,175075,40864,153769,48668,3.58,0,47
29,814238,589916,589191,72.45,72.36,206278,47551,184058,57658,3.55,0,48
